projectKey,value,type,Ecosystem
ONAP_multicloud-framework-artifactbroker,366,Java Methods,ONAP
ONAP_logging-analytics,261,Java Methods,ONAP
ONAP_ccsdk-apps,667,Java Methods,ONAP
ONAP_ccsdk-dashboard,611,Java Methods,ONAP
ONAP_vfc-nfvo-wfengine-activiti-extension,67,Java Methods,ONAP
ONAP_ccsdk-features,2586,Java Methods,ONAP
ONAP_dcaegen2-platform-inventory-api,227,Java Methods,ONAP
ONAP_sdnc-apps,122,Java Methods,ONAP
ONAP_cli,766,Java Methods,ONAP
ONAP_ccsdk-sli-adaptors,1083,Java Methods,ONAP
ONAP_ccsdk-sli-core,766,Java Methods,ONAP
ONAP_ccsdk-sli-northbound,251,Java Methods,ONAP
ONAP_dcaegen2-collectors-datafile,264,Java Methods,ONAP
ONAP_aai-spike,193,Java Methods,ONAP
ONAP_aai-traversal,621,Java Methods,ONAP
ONAP_vid,8459,Java Methods,ONAP
ONAP_dmaap-messagerouter-messageservice,186,Java Methods,ONAP
ONAP_vnfsdk-functest,171,Java Methods,ONAP
ONAP_ccsdk-sli-plugins,595,Java Methods,ONAP
ONAP_holmes-engine-management,73,Java Methods,ONAP
ONAP_holmes-rule-management,64,Java Methods,ONAP
ONAP_msb-apigateway,589,Java Methods,ONAP
ONAP_vnfsdk-ves-agent,499,Java Methods,ONAP
ONAP_music,741,Java Methods,ONAP
ONAP_holmes-common,193,Java Methods,ONAP
ONAP_msb-discovery,541,Java Methods,ONAP
ONAP_msb-java-sdk,245,Java Methods,ONAP
ONAP_vfc-nfvo-multivimproxy,265,Java Methods,ONAP
ONAP_vfc-nfvo-driver-vnfm-gvnfm-juju,786,Java Methods,ONAP
ONAP_dmaap-messagerouter-dmaapclient,450,Java Methods,ONAP
ONAP_policy-apex-pdp,3881,Java Methods,ONAP
ONAP_logging-analytics-pomba-pomba-sdnc-context-builder,504,Java Methods,ONAP
ONAP_sdc-sdc-distribution-client,420,Java Methods,ONAP
ONAP_dmaap-messagerouter-msgrtr,832,Java Methods,ONAP
ONAP_sdc-sdc-workflow-designer,258,Java Methods,ONAP
ONAP_vnfsdk-validation,524,Java Methods,ONAP
ONAP_vnfsdk-refrepo,517,Java Methods,ONAP
ONAP_sdc-dcae-d-dt-be-main,863,Java Methods,ONAP
ONAP_sdnc-northbound,228,Java Methods,ONAP
ONAP_sdc-dcae-d-ci,422,Java Methods,ONAP
ONAP_sdc-dcae-d-dt-be-property,988,Java Methods,ONAP
ONAP_sdc-sdc-tosca,1021,Java Methods,ONAP
ONAP_vfc-nfvo-driver-svnfm-huawei,438,Java Methods,ONAP
ONAP_dmaap-messagerouter-mirroragent,50,Java Methods,ONAP
ONAP_vfc-nfvo-driver-vnfm-svnfm-nokiav2,521,Java Methods,ONAP
ONAP_vfc-nfvo-resmanagement,1209,Java Methods,ONAP
ONAP_so,15526,Java Methods,ONAP
ONAP_vfc-nfvo-driver-ems,280,Java Methods,ONAP
ONAP_vfc-nfvo-driver-sfc,186,Java Methods,ONAP
