organization,key,name,tags,visibility,isNew,repo_url,eligibilityStatus,eligible
onap,onap_logging-analytics-pomba-pomba-aai-context-builder,pomba-aai-context-builder,[],public,False,,,
onap,onap_logging-analytics-pomba-pomba-audit-common,pomba-audit-common,[],public,False,,,
onap,onap_logging-analytics-pomba-pomba-context-aggregator,pomba-context-aggregator,[],public,False,,,
onap,onap_logging-analytics-pomba-pomba-network-discovery-context-builder,pomba-network-discovery-context-builder,[],public,False,,,
onap,onap_logging-analytics-pomba-pomba-sdc-context-builder,pomba-sdc-context-builder,[],public,False,,,
apache,apache_plc4x,PLC4X,[],public,False,https://github.com/apache/plc4x,,
apache,apache_incubator-tamaya-sandbox,Apache Tamaya Sandbox,['tamaya'],public,False,https://github.com/apache/incubator-tamaya-sandbox,,
onap,onap_so-libs,so-libs,[],public,False,,,
onap,onap_aai-schema-service,aai-schema-service,[],public,False,,,
apache,commons-geometry,Apache Commons Geometry,[],public,False,,,
onap,onap_dcaegen2-services-prh,dcaegen2-services-prh,[],public,False,,,
onap,onap_dcaegen2-services-sdk,dcaegen2-services-sdk,[],public,False,,,
onap,onap_dcaegen2-services-son-handler,dcaegen2-services-son-handler,[],public,False,,,
apache,apache_sling-whiteboard,Apache Sling Whiteboard (Builder),['sling'],public,False,https://github.com/apache/sling-whiteboard,,
apache,apache_sling-org-apache-sling-distribution-core,Apache Sling Distribution Core,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-distribution-core,,
apache,apache_sling-org-apache-sling-testing-serversetup,Apache Sling Server Setup Tools,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-testing-serversetup,,
apache,apache_sling-org-apache-sling-serviceusermapper,Apache Sling Service User Mapper,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-serviceusermapper,,
apache,apache_sling-org-apache-sling-servlet-helpers,Apache Sling Servlet Helpers,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-servlet-helpers,,
apache,apache_sling-org-apache-sling-servlets-resolver,Apache Sling Servlets Resolver,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-servlets-resolver,,
apache,apache_sling-slingstart-maven-plugin,Apache Sling SlingStart Maven Plugin,['sling'],public,False,https://github.com/apache/sling-slingstart-maven-plugin,,
apache,apache_sling-org-apache-sling-testing-jcr-mock,Apache Sling Testing JCR Mock,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-testing-jcr-mock,,
apache,apache_sling-org-apache-sling-testing-osgi-mock,Apache Sling Testing OSGi Mock,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-testing-osgi-mock,,
apache,apache_sling-org-apache-sling-testing-paxexam,Apache Sling Testing PaxExam,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-testing-paxexam,,
apache,apache_sling-org-apache-sling-testing-resourceresolver-mock,Apache Sling Testing Resource Resolver Mock,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-testing-resourceresolver-mock,,
onap,onap_dmaap-datarouter,dmaap-datarouter,[],public,False,,,
onap,onap_integration-pnf-simulator,integration-pnf-simulator,[],public,False,,,
onap,onap_integration-simulators-pnf-simulator,integration-pnf-simulator,[],public,False,,,
